date,treatment,rain,tmax,tmin,srad,tmean
05/29/1961,PGRO,0,25.26674,8.11784,11.54966966,16.69229
05/30/1961,PGRO,0,25.11462,8.6057,11.26651563,16.86016
05/31/1961,PGRO,0,25.11462,8.11784,11.40007366,16.61623
06/01/1961,PGRO,0,24.2,7.4,7.660678627,15.8
06/02/1961,PGRO,0,20.8,9.5,6.657579748,15.15
06/03/1961,PGRO,0,24.8,12,6.148353023,18.4
06/04/1961,PGRO,3.4,26.9,11,7.020539973,18.95
06/05/1961,PGRO,6.2,20,11.8,9.102363228,15.9
06/06/1961,PGRO,0,21.6,15,8.190802659,18.3
06/07/1961,PGRO,0,22.8,15.6,9.780057141,19.2
06/08/1961,PGRO,0,25.3,15.1,6.624022014,20.2
06/09/1961,PGRO,0,26.6,10.9,4.52377859,18.75
06/10/1961,PGRO,24.4,24.7,11.4,4.513248518,18.05
06/11/1961,PGRO,39,19.6,12.3,4.50356337,15.95
06/12/1961,PGRO,42,15,11.7,4.49472646,13.35
06/13/1961,PGRO,12,14.6,11,4.486740775,12.8
06/14/1961,PGRO,2.8,12.4,9.7,4.479608981,11.05
06/15/1961,PGRO,0,10.4,4.3,4.473333423,7.35
06/16/1961,PGRO,0,15,3.3,10.82328728,9.15
06/17/1961,PGRO,0,13.8,2.4,8.035461659,8.1
06/18/1961,PGRO,0,16,9.6,9.536738304,12.8
06/19/1961,PGRO,0,23.8,8.2,9.134932479,16
06/20/1961,PGRO,5.2,24.4,8.6,7.070498992,16.5
06/21/1961,PGRO,0,18.3,10.3,6.434880224,14.3
06/22/1961,PGRO,0,19.6,8.1,11.03041265,13.85
06/23/1961,PGRO,0,13.6,5.2,11.19002649,9.4
06/24/1961,PGRO,0,17.3,7.2,10.16256703,12.25
06/25/1961,PGRO,0,20.9,13,9.453354577,16.95
06/26/1961,PGRO,0,23.4,13.2,11.60105175,18.3
06/27/1961,PGRO,0,24.4,14,9.783921904,19.2
06/28/1961,PGRO,0,24.2,12.4,11.6203015,18.3
06/29/1961,PGRO,4,25,8.8,9.644729716,16.9
06/30/1961,PGRO,7,24.2,13.9,10.05491376,19.05
07/01/1961,PGRO,0,24.2,10.1,10.46763253,17.15
07/02/1961,PGRO,0,24.1,6.9,11.12246981,15.5
07/03/1961,PGRO,0,24.4,10.2,10.26226427,17.3
07/04/1961,PGRO,0,21.2,13.2,11.8826878,17.2
07/05/1961,PGRO,0,23.9,14.7,11.74602541,19.3
07/06/1961,PGRO,0,21.8,10.1,11.36954358,15.95
07/07/1961,PGRO,8,24.9,7,9.624606425,15.95
07/08/1961,PGRO,0,18.2,11.1,11.3430458,14.65
07/09/1961,PGRO,0,15.3,8.5,8.623215031,11.9
07/10/1961,PGRO,0,15.8,8.2,11.24157148,12
07/11/1961,PGRO,0,17.7,9.2,12.33034203,13.45
07/12/1961,PGRO,0,21.6,10.6,11.95980782,16.1
07/13/1961,PGRO,0,25.2,8.8,11.18031495,17
07/14/1961,PGRO,0,28.8,10.3,10.64361758,19.55
