model,init_month,year,Tmean_Aug_1,Tmean_Aug_2,Tmean_Aug_3,Tmean_Aug_4,Tmean_Oct_1,Tmean_Oct_2,Tmean_Oct_3,Tmean_Oct_4,Tmean_Sep_1,Tmean_Sep_2,Tmean_Sep_3,Tmean_Sep_4,Rain_Aug_1,Rain_Aug_2,Rain_Aug_3,Rain_Aug_4,Rain_Oct_1,Rain_Oct_2,Rain_Oct_3,Rain_Oct_4,Rain_Sep_1,Rain_Sep_2,Rain_Sep_3,Rain_Sep_4,yield
MME,8,1994,15.768220433374292,20.60540713638498,18.697420719368022,16.117002636690195,19.216612385886844,24.195578815055825,22.678455197728955,19.56563980270315,16.027702847660564,21.64514979503351,19.982374849524103,17.22160797216099,100.68206622809741,20.988820508476532,35.58053002922586,52.21926942116709,251.65889361251882,138.18246513152786,169.30869712252866,162.96985704763097,175.61550501185636,88.56925841542278,112.00932977780441,117.42811325020458,2737.7643253234755
MME,8,1995,14.810143129111163,21.42972105169643,19.847374545386216,16.88859112915997,18.661077574473964,23.99174952974693,22.565299724945604,19.14754359998077,16.033863071237587,22.729736700657043,21.131378131753923,17.757640294568372,131.81984301144846,20.759036692971115,35.828630448262025,70.48912408816233,216.63162096154417,162.99568320842602,202.1494861327747,207.20914599530872,171.31876631856667,63.30255779034131,100.929766019099,109.08984444492094,2641.626503047273
MME,8,1996,15.343863050540081,19.967258974895973,18.514901225561147,15.54229155159956,18.590687922405372,23.230938211493736,22.00417078798441,18.785622204265227,15.789208725840687,21.581310842696723,19.998860435832245,16.808495199914475,107.52027222644038,44.119171132525544,64.12537271271475,70.608912184322,181.51881160833082,196.9304228382737,218.19389534918537,180.25375930614,152.44095329661678,72.11206676776915,95.1288380912262,107.71871145706585,2930.5712898527267
MME,8,1997,15.219682354255937,20.10438006118895,18.458647993218985,16.27095402573128,19.03912822125938,23.341420189164552,22.02202672309161,19.3896685919572,15.648907093430548,20.573204660768155,19.040642672761987,16.798489878398247,271.3181305753283,49.98411928170877,90.47666151685509,101.14015340207428,289.75860574258166,243.36743960036284,295.3763318382958,253.10349205592334,227.54823640111115,182.98943352074292,229.8169141018718,218.72071019304977,2610.938645418327
MME,8,1998,15.22564028757164,20.074756307798246,18.20082901308483,16.39167060588459,18.519729021277747,22.775917981485392,21.455387015565062,18.459428504097588,15.493883241803626,21.417384365133923,19.738789788609324,16.81466506229861,233.53762449923306,126.40680651138854,172.84848931481255,178.75050469478995,186.06632802931452,167.2401497984318,190.10650628510714,173.2187932340662,213.6274870710185,115.54240595103181,150.51975833427446,183.01489136833666,2531.6530114797924
MME,8,1999,13.78355935784504,19.26018079646332,17.460270443791956,14.68261981247904,18.345506195392286,23.202985367117527,21.74502401462236,18.793107317722182,15.393028794818953,21.233348040912393,19.542045791965442,16.440013170676234,95.53655681066832,14.215982795222377,29.95030202151392,40.93977228745828,207.69424669529275,140.05817803565284,163.4571200903326,165.33611752236428,185.87696378974525,93.29741836255619,116.6030969341157,139.58630378273037,2881.8055512362
MME,8,2000,14.813647273213899,20.321349839673935,18.404574406160656,15.984684318195075,18.010260497495075,22.589567195468227,21.23271764129838,18.12208740107582,15.735323712658632,21.54373086975401,19.89795055634122,17.1091102246104,141.07544476204754,51.028296685489224,67.12135175969902,83.85518925206341,173.9537900847963,158.3014040530242,184.08273294918237,180.5116836117281,173.89524579299163,133.26616085889341,146.44309781387614,148.92378622901046,2340.684178092744
MME,8,2001,17.587176198614067,21.346392387962336,19.8018750953576,16.914609561371844,18.63113353611118,23.242227682835487,21.826765853941804,18.62156662368511,16.843168690978647,22.832569797121497,21.211558133282214,18.09092528394967,65.72394325248158,17.93039472403921,24.21529734338714,36.55981085036434,164.36179563629818,169.93085892632595,215.00698842178153,195.30913401095572,171.8706887516844,89.56668255273094,123.28474630675048,139.6549444905405,2737.7903349135954
MME,8,2002,15.259585978305381,21.630680890446765,19.74271435504247,17.438020103402163,18.963020986802093,23.65671520922199,22.247819798960183,19.36308743339085,15.792794859431442,22.08519311824642,20.29949686329947,17.335763417365403,135.63156948352966,83.39220385752942,97.31793922439009,108.71999247891645,220.56992122642737,173.8601113762004,207.47138154443803,191.89807431931774,164.43840422220444,115.58825225409767,135.65660390941656,155.52593324827285,2194.415589353612
MME,8,2003,15.842804048895074,21.031589841045605,18.968649166524248,16.6521738515542,19.223817542175496,24.329395446490402,22.793860722877223,19.7255076440103,15.920616539334407,21.554594951376504,20.008016124762545,17.117324944485564,93.57905404708,39.54724299597398,61.21411231725114,61.670192262857576,237.5195924573381,150.65776738948963,180.92973446803023,168.96473645495536,168.08905920078868,103.67834708615467,140.2205889715244,138.9229879739474,3097.055387179876
MME,8,2004,15.698158596203296,19.67390009798899,18.09769483406429,15.55363702439844,18.661341050057356,23.421648332095156,22.00833551463906,19.137257162392117,16.49673436130653,21.565330004097,20.100387165150398,17.232683068266926,95.43349038939989,18.695600495724776,30.65166511253328,42.13676572513572,241.00046414250954,187.2586403270363,230.57702525546736,214.76481090640618,157.25495495202992,95.43964516519635,113.13433422334167,116.22899023630333,2692.237029193768
MME,8,2005,16.667802841038487,20.876596313784038,19.448813324197932,16.57572626717665,19.049208136537015,24.15229069241641,22.73636113144398,19.39591158025988,16.78527368896553,22.74072528958802,21.253864022755643,17.953397434908194,77.58198575698357,18.569930095588663,27.64172701172416,40.81874775020595,216.39143971853477,151.29091525111522,181.4073238664088,201.6993149407638,167.25134825702895,84.09759912648438,105.66483746149297,127.01059964919095,2531.334442595674
MME,8,2006,16.76919593609295,22.129157032807385,21.211464823123443,18.321334641792394,19.21191119780035,24.403459126200545,23.156732651661365,20.075377009422443,16.451547541695348,22.51664158165877,21.05502936783812,18.042597125526886,113.76431685182588,28.165128971130834,41.11228592750266,51.78988895106064,228.24567517079254,175.4934480445743,201.16064538391865,181.88476611663714,234.7152948453159,99.46969045214281,142.00842257229428,155.2336691971792,2066.5271253220185
